time,throughput
9.673,482400.0
9.675,428800.0
9.676,482400.0
9.677,482400.0
9.679,428800.0
9.68,482400.0
9.681,482400.0
9.682,482400.0
9.684,428800.0
9.685,482400.0
9.686,482400.0
9.687,482400.0
9.689,482400.0
9.69,482400.0
9.691,428800.0
9.692,482400.0
9.694,428800.0
9.695,482400.0
9.696,482400.0
9.698,428800.0
9.699,482400.0
9.7,482400.0
9.701,482400.0
9.703,428800.0
9.704,482400.0
9.705,482400.0
9.706,482400.0
9.708,482400.0
9.709,482400.0
9.71,428800.0
9.711,482400.0
9.713,482400.0
9.714,482400.0
9.715,482400.0
9.717,428800.0
9.718,482400.0
9.719,482400.0
9.72,482400.0
9.722,428800.0
9.723,428800.0
9.724,482400.0
9.725,482400.0
9.727,482400.0
9.728,482400.0
9.729,482400.0
9.73,482400.0
9.732,482400.0
9.733,482400.0
9.734,482400.0
9.736,428800.0
9.737,482400.0
9.738,482400.0
9.739,428800.0
9.741,428800.0
9.742,428800.0
9.743,482400.0
9.744,482400.0
9.746,482400.0
9.747,482400.0
9.749,428800.0
9.75,428800.0
9.751,482400.0
9.753,428800.0
9.754,428800.0
9.756,428800.0
9.757,428800.0
9.758,428800.0
9.76,428800.0
9.761,428800.0
9.763,428800.0
9.764,428800.0
9.766,428800.0
9.767,428800.0
9.768,375200.0
9.77,428800.0
9.771,375200.0
9.773,428800.0
9.774,428800.0
9.775,428800.0
9.777,428800.0
9.778,428800.0
9.78,428800.0
9.781,428800.0
9.782,428800.0
9.784,375200.0
9.785,428800.0
9.787,375200.0
9.788,428800.0
9.79,428800.0
9.791,428800.0
9.792,428800.0
9.794,428800.0
9.795,428800.0
9.797,428800.0
9.798,428800.0
9.799,428800.0
9.801,428800.0
9.802,428800.0
9.804,428800.0
9.805,428800.0
9.806,428800.0
9.808,428800.0
9.809,428800.0
9.811,428800.0
9.812,428800.0
9.814,428800.0
9.815,428800.0
9.816,375200.0
9.818,428800.0
9.819,375200.0
9.821,428800.0
9.822,428800.0
9.823,428800.0
9.825,428800.0
9.826,428800.0
9.828,428800.0
9.829,428800.0
9.831,428800.0
9.832,375200.0
9.833,428800.0
9.835,375200.0
9.836,428800.0
9.838,428800.0
9.839,428800.0
9.84,428800.0
9.842,428800.0
9.843,428800.0
9.845,428800.0
9.846,428800.0
9.847,428800.0
9.849,428800.0
9.85,428800.0
9.852,428800.0
9.853,428800.0
9.855,428800.0
9.856,428800.0
9.857,428800.0
9.859,428800.0
9.86,428800.0
9.862,428800.0
9.863,428800.0
9.864,428800.0
9.866,428800.0
9.867,375200.0
9.869,428800.0
9.87,428800.0
