time,bytesRx,mac_address
19.728,536,04-07-07:00:00:02:a0:0f:00
19.731,536,04-07-07:00:00:02:a0:0f:00
19.733,536,04-07-07:00:00:02:a0:0f:00
19.736,536,04-07-07:00:00:02:a0:0f:00
19.739,536,04-07-07:00:00:02:a0:0f:00
19.742,536,04-07-07:00:00:02:a0:0f:00
19.744,536,04-07-07:00:00:02:a0:0f:00
19.747,536,04-07-07:00:00:02:a0:0f:00
19.759,536,04-07-07:00:00:02:a0:0f:00
19.762,536,04-07-07:00:00:02:a0:0f:00
19.765,536,04-07-07:00:00:02:a0:0f:00
19.768,536,04-07-07:00:00:02:a0:0f:00
19.770,536,04-07-07:00:00:02:a0:0f:00
19.773,536,04-07-07:00:00:02:a0:0f:00
19.776,536,04-07-07:00:00:02:a0:0f:00
19.779,536,04-07-07:00:00:02:a0:0f:00
19.781,536,04-07-07:00:00:02:a0:0f:00
19.784,536,04-07-07:00:00:02:a0:0f:00
19.796,536,04-07-07:00:00:02:a0:0f:00
19.799,536,04-07-07:00:00:02:a0:0f:00
19.802,536,04-07-07:00:00:02:a0:0f:00
19.805,536,04-07-07:00:00:02:a0:0f:00
